DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanLOS,MedianLOS,MedianCharges,MeanCost,MedianCost,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
661,1,64715,6982,21645,5.8,4,12578,6330,3997,0.263,1274,286
661,2,51080,4104,15699,4.6,3,9573,4950,2945,0.389,824,278
661,3,68735,3405,21425,4.5,3,12037,5688,3322,0.213,1118,346
661,4,32520,2043,31452,5.1,3,18710,7775,5033,0.39,1442,287
662,0,2665,173,15303,3.8,2,9984,4387,2978,0.242,773,217
662,1,290,42,25425,6.6,4,16668,7423,4372,1.442,3867,1204
662,2,635,69,10753,3.5,2,7726,3894,2875,0.334,883,315
662,3,1045,109,13750,3.5,2,9805,3397,2523,0.304,1008,199
662,4,695,107,17665,3.4,3,11712,5088,3365,0.417,1610,452
663,0,1215,92,60460,8.5,5,26759,16449,8961,0.666,6697,1590
663,1,180,31,74666,11.7,5,35829,19738,11416,2.162,17741,3430
663,2,390,57,40731,6,4,21749,13616,8662,0.71,6205,1897
663,3,415,56,58888,9.8,7,24096,15531,7406,1.271,11416,3417
663,4,230,34,85755,7.8,5,43934,20360,13045,1.284,21413,3509
670,0,50000,1217,23392,4.5,2,13726,6349,3952,0.228,1035,254
670,1,9715,693,30597,5.9,3,16742,7330,4575,0.757,3367,613
670,2,12235,487,17744,3.8,2,11911,5637,3751,0.222,861,334
670,3,18000,700,18930,4.3,2,12600,5218,3412,0.395,698,307
670,4,10050,523,31640,4.1,2,17677,8396,4801,0.291,3215,832
76,0,30810,613,40504,4.8,3,23358,10885,6680,0.077,1057,308
76,1,4890,213,42036,5,3,24654,11273,7000,0.169,2229,518
76,2,5880,227,31448,4.5,3,19045,10020,6287,0.148,1506,451
76,3,12270,412,37940,5,3,22275,10021,6141,0.124,1610,495
76,4,7770,331,50900,4.8,3,29370,12752,7644,0.178,2840,831
77,0,10930,302,107662,10.6,7,57236,28865,15628,0.327,3999,1083
77,1,1945,131,115543,10.5,6,58196,30010,15154,0.878,10565,2920
77,2,2240,117,81039,9.9,6,45777,24671,13695,0.563,5102,1594
77,3,4155,188,97040,10.7,7,54814,26500,15331,0.532,5759,1710
77,4,2590,158,143790,11.2,7,73779,35815,19513,0.703,10092,2491
78,0,9430,309,118893,11.4,8,72900,30955,20341,0.268,3597,905
78,1,1570,133,128844,11.8,8,74825,31156,20688,0.593,9884,2054
78,2,1970,134,101168,10.1,7,65003,30121,19589,0.541,6676,2250
78,3,3720,207,111040,12.3,8,70595,28586,19657,0.458,5004,1198
78,4,2170,132,142675,10.8,7,80453,35980,22558,0.543,8865,2207
79,0,12285,496,47006,3.8,3,31040,12014,8451,0.11,1815,362
79,1,2770,208,43689,4.2,3,29225,11278,8128,0.21,3669,809
79,2,2905,191,35600,3.7,3,22951,10496,7331,0.177,2563,560
79,3,4225,332,44654,3.7,3,31779,11319,8047,0.176,2885,634
79,4,2385,238,70077,3.5,2,47603,16176,13135,0.332,5099,861
80,0,23790,542,33162,4.4,4,24358,8553,6527,0.1,751,183
80,1,5355,225,38082,4.4,3,27265,9320,7263,0.122,1926,349
80,2,6015,353,26112,4.1,3,20209,7768,6013,0.139,1441,334
80,3,8875,304,29753,4.4,4,23696,7776,6084,0.093,842,280
80,4,3545,161,46397,5.1,3,32749,10725,7588,0.56,2409,661
81,0,42600,1184,54165,5.1,3,33902,14095,9244,0.13,1682,410
81,1,8785,529,63780,5.9,3,35591,15806,9468,0.433,5826,1438
81,2,9440,484,42310,4.7,3,29176,12977,9052,0.169,1654,566
81,3,15845,745,46770,5.1,3,32240,12185,8601,0.164,1566,397
81,4,8530,576,71545,4.9,3,41083,17226,10696,0.298,4507,1045
82,0,8535,395,54090,5.9,3,34049,16007,9352,1.109,2860,1375
82,1,1225,114,60374,5.3,3,41087,15617,9695,0.65,4951,1875
82,2,2105,295,48499,4.8,3,33232,15588,10077,0.576,7457,2767
82,3,3375,180,45571,4.6,3,30523,12482,7794,0.351,2658,898
82,4,1830,152,73187,0,0,42040,23749,10981,0,7777,5086
83,0,280255,6250,34146,3.6,2,20963,8816,5666,0.034,750,184
83,1,62815,3001,38140,3.7,2,21994,9463,5976,0.084,2367,615
83,2,61885,3003,27953,3.5,2,18234,8422,5649,0.08,1370,328
83,3,106005,3918,31419,3.7,2,20063,7974,5188,0.047,720,189
83,4,49550,2385,42758,3.4,2,26405,10334,6588,0.073,1791,346
84,0,64235,1975,25253,2.8,2,20240,6321,5278,0.133,647,144
84,1,12250,761,26647,2.7,2,20663,6522,5438,0.113,1277,190
84,2,16250,1545,23391,3.3,2,18429,6776,5550,0.469,2336,490
84,3,25385,845,23506,2.7,2,19194,5585,4830,0.039,489,80
84,4,10350,469,30938,2.4,2,25522,7220,6103,0.056,846,166
85,0,15040,318,44649,5.1,3,21562,11711,6380,0.219,1846,395
85,1,2530,118,50764,5.5,3,22054,13135,7046,0.457,5286,1069
85,2,3545,157,30498,4.1,3,18142,9776,6095,0.219,2353,596
85,3,5140,186,38952,5.6,3,19099,10425,5473,0.433,2710,675
85,4,3825,167,62782,5.3,3,33451,14514,7664,0.519,4709,887
86,0,145,27,36737,3.2,2,19006,11795,6370,0.83,7092,2214
86,1,0,0,0,0,0,0,0,0,0,0,0
86,2,0,0,0,0,0,0,0,0,0,0,0
86,3,0,0,0,0,0,0,0,0,0,0,0
86,4,0,0,0,0,0,0,0,0,0,0,0
87,0,3565,221,51911,4.8,2,24920,14269,6783,0.572,5976,1856
87,1,905,147,57161,4.6,2,28370,13532,7132,0.949,12132,2381
87,2,860,93,0,5.9,2,0,0,0,1.71,0,0
87,3,1130,96,38138,4,2,23727,9578,5998,0.573,4382,1130
87,4,670,97,69838,5.1,2,33110,19557,8373,1.383,16273,5188
88,0,600,65,27409,2.8,2,21822,7243,6275,0.333,2480,640
88,1,135,31,31874,2.8,2,21500,8753,6469,0.53,7502,1969
88,2,95,22,20874,0,0,16685,7661,5984,0,3109,1537
88,3,145,29,26014,2.7,2,21822,6569,5481,0.446,3719,774
88,4,225,45,28434,2.4,2,25174,6565,6275,0.298,4086,795
89,0,5615,180,24591,2.5,2,19977,6301,5382,0.076,658,139
89,1,1280,90,27667,2.8,2,21379,6910,5825,0.176,1744,301
89,2,1240,86,19515,2.2,2,17067,5737,5156,0.142,1045,244
89,3,2205,111,22790,2.4,2,19790,5760,4930,0.108,828,214
89,4,890,67,31787,2.5,2,26749,7584,6352,0.225,1824,382
90,0,13350,410,27744,4,3,18916,7383,5237,0.082,870,192
90,1,3020,219,31863,4.1,3,21447,8109,5990,0.209,2271,464
90,2,2915,175,20964,3.7,3,15343,6414,4780,0.162,1049,320
90,3,4940,261,25592,4.1,3,18059,6957,4893,0.125,1212,301
90,4,2475,146,35110,3.8,3,23486,8507,6019,0.177,2495,488
91,0,7475,295,36416,3.2,2,24975,9386,6416,0.11,2354,747
91,1,1755,167,35143,3.1,2,26566,8636,6643,0.171,1907,486
91,2,1460,109,34707,3,2,20259,0,0,0.156,9259,0
91,3,2830,182,34407,3.3,2,23122,8175,5795,0.228,3526,572
91,4,1430,119,44207,3.2,2,32008,10800,7781,0.223,2676,788
92,0,9555,344,27560,3.1,2,17076,7119,4648,0.091,1232,292
92,1,1785,128,29290,3.2,2,18122,6923,4648,0.256,3496,678
92,2,1930,144,21961,2.9,2,14365,7160,4894,0.195,2194,626
92,3,3815,229,25822,3.2,2,15985,6241,4060,0.138,1702,415
92,4,2025,170,34665,3,2,21516,8978,5654,0.176,2993,725
93,0,48775,928,23809,2.3,2,19414,5820,5037,0.024,329,52
93,1,12995,574,24134,2.5,2,19356,6129,5326,0.041,742,107
93,2,10610,368,18618,2.4,2,15608,5725,4932,0.073,468,113
93,3,17550,564,23929,2.3,2,20328,5242,4695,0.033,535,73
93,4,7620,281,30205,2.1,2,25134,6781,5729,0.046,815,149
94,0,6770,219,29410,3.1,2,18626,7776,5035,0.082,1124,296
94,1,1445,107,29770,2.9,2,20994,7394,5020,0.161,2136,606
94,2,1310,88,23406,3.1,3,15075,7296,4901,0.152,1645,467
94,3,2615,135,27473,3.4,3,17515,7151,4613,0.149,1789,475
94,4,1400,102,38532,2.8,2,21989,9881,5883,0.167,3225,804
95,0,260870,3878,44425,4.8,3,26933,11538,7251,0.042,716,142
95,1,49360,1839,48020,5,3,28305,12182,7832,0.076,2135,334
95,2,61315,2017,35740,4.7,3,22700,10928,7109,0.099,878,248
95,3,98375,2333,40830,4.7,3,25768,10402,6498,0.059,897,224
95,4,51820,1465,58546,4.7,3,34353,13902,8458,0.119,2059,372
96,0,129395,4819,169964,7.9,6,137482,42647,37622,0.076,3519,546
96,1,29675,2471,173006,8.4,6,134940,41630,36389,0.18,8608,1141
96,2,30935,2830,138777,7.6,6,122420,40679,36498,0.137,3594,669
96,3,43620,2477,158084,8,6,134667,38924,35684,0.117,4163,758
96,4,25165,1724,228746,7.7,6,182248,53439,46537,0.171,10773,1746
97,0,67255,1358,84457,6.6,4,39756,21644,10657,0.118,2655,647
97,1,14780,596,89575,6.5,4,40524,21473,11107,0.263,6450,1207
97,2,15430,837,71075,6.1,4,34767,21304,10588,0.253,4767,1517
97,3,24595,749,77851,7,4,38542,19897,9774,0.175,3564,1024
97,4,12450,475,109627,6.3,3,50948,26062,12379,0.318,8216,1626
98,0,48910,981,22993,2.5,2,17477,5928,4715,0.047,349,75
98,1,10955,526,24234,2.6,2,18241,6294,5081,0.108,889,183
98,2,11080,452,19133,2.7,2,14775,5974,4673,0.089,699,146
98,3,20090,629,22096,2.5,2,17293,5263,4289,0.076,433,85
98,4,6785,291,29982,2.4,2,23132,7286,5652,0.111,1132,286
99,0,255445,3934,48774,5,3,27499,12164,7102,0.043,1070,247
