RegionType,RegionID,CatID,CatVal,Year,Population
1,91,2,2,2012,296714
1,91,4,1,2012,200676
1,91,4,2,2012,44543
1,91,4,3,2012,230607
1,91,4,4,2012,91267
1,91,4,5,2012,2478
1,91,4,6,2012,22265
1,96,0,0,2012,853424
1,96,1,1,2012,217505
1,96,1,2,2012,306681
1,96,1,3,2012,227319
1,96,1,4,2012,101919
1,96,2,1,2012,423868
1,96,2,2,2012,429556
1,96,4,1,2012,425314
1,96,4,2,2012,13369
1,96,4,3,2012,334234
1,96,4,4,2012,58464
1,96,4,5,2012,1608
1,96,4,6,2012,20435
1,101,0,0,2012,308758
1,101,1,1,2012,68540
1,101,1,2,2012,124623
1,101,1,3,2012,84069
1,101,1,4,2012,31526
1,101,2,1,2012,154575
1,101,2,2,2012,154183
1,101,4,1,2012,244930
1,101,4,2,2012,2188
1,101,4,3,2012,42197
1,101,4,4,2012,11581
1,101,4,5,2012,958
1,101,4,6,2012,6904
1,102,0,0,2012,829458
1,102,1,1,2012,204542
1,102,1,2,2012,302844
1,102,1,3,2012,224971
1,102,1,4,2012,97101
1,102,2,1,2012,420431
1,102,2,2,2012,409027
1,102,4,1,2012,590723
1,102,4,2,2012,40119
1,102,4,3,2012,146577
1,102,4,4,2012,18917
1,102,4,5,2012,4888
1,102,4,6,2012,28234
1,103,0,0,2012,2850928
1,103,1,1,2012,696050
1,103,1,2,2012,1105397
1,103,1,3,2012,750401
1,103,1,4,2012,299080
1,103,2,1,2012,1424508
1,103,2,2,2012,1426420
1,103,4,1,2012,1924192
1,103,4,2,2012,138772
1,103,4,3,2012,616210
1,103,4,4,2012,97752
1,103,4,5,2012,13359
1,103,4,6,2012,60643
1,104,0,0,2012,336981
1,104,1,1,2012,75467
1,104,1,2,2012,140099
1,104,1,3,2012,83096
1,104,1,4,2012,38319
1,104,2,1,2012,169518
1,104,2,2,2012,167463
1,104,4,1,2012,279696
1,104,4,2,2012,4737
1,104,4,3,2012,37074
1,104,4,4,2012,6494
1,104,4,5,2012,1730
1,104,4,6,2012,7250
1,105,0,0,2012,344719
1,105,1,1,2012,82414
1,105,1,2,2012,120558
1,105,1,3,2012,95245
1,105,1,4,2012,46502
1,105,2,1,2012,174457
1,105,2,2,2012,170262
1,105,4,1,2012,271806
1,105,4,2,2012,1785
1,105,4,3,2012,61868
1,105,4,4,2012,2610
1,105,4,5,2012,1222
1,105,4,6,2012,5428
1,106,0,0,2012,356509
1,106,1,1,2012,92194
1,106,1,2,2012,128752
1,106,1,3,2012,91449
1,106,1,4,2012,44114
1,106,2,1,2012,178007
1,106,2,2,2012,178502
1,106,4,1,2012,259459
1,106,4,2,2012,3134
1,106,4,3,2012,84250
1,106,4,4,2012,3392
1,106,4,5,2012,1338
1,106,4,6,2012,4936
1,107,0,0,2012,174107
1,107,1,1,2012,41600
1,107,1,2,2012,57237
1,107,1,3,2012,47581
1,107,1,4,2012,27689
1,107,2,1,2012,86486
1,107,2,2,2012,87621
