DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
59,2,41034.98115,910.5843764,24967.65617,861.4274144,8353.607296,318.943728,3.591446827,0.069614409,16510,5747.928,3
59,3,84974.90362,1466.556194,27674.39203,627.8267554,7255.482822,162.3634489,3.601918385,0.045235557,17580,4896.144,2
59,4,33734.96194,889.3281072,40919.10659,1566.808336,9884.959538,341.381951,3.388025084,0.073403176,25209,6289.816,2
60,0,41889.9807,740.5634724,27748.78432,430.3511756,7717.50915,91.29891244,3.515277894,0.03653748,19837,5977.862,3
60,1,8815.003329,343.3545731,29316.16575,1102.711884,8350.786803,194.2756321,3.697673612,0.08420167,20676,6632.906,3
60,2,10294.99742,337.2824106,23760.93121,704.0604056,7739.897498,162.0094662,3.520155369,0.066863606,17357,6123.916,3
60,3,16164.99413,493.5903147,25987.14017,606.0448323,6846.456891,142.4473985,3.532322993,0.059302039,19061,5290.7,3
60,4,6614.985825,270.4645459,36266.40957,1308.376668,9015.656398,270.6088181,3.222976983,0.093347219,26072,6701.886,2
61,0,90214.96393,3354.133971,30017.81847,777.4203699,8212.054404,227.633562,5.07387895,0.067366165,19544,5557.37,4
61,1,19690.00188,1739.126599,36742.79861,1926.793084,9198.826039,427.4290042,5.30700923,0.14453394,23783,6279.614,4
61,2,17485.01375,1664.86778,24973.62268,1193.191988,7974.299381,465.836879,4.911063732,0.156494837,17611,5608.878,4
61,3,45414.94964,2236.692247,26235.23057,895.8110834,7323.359786,308.9643633,5.006165931,0.092785228,17708,5080.14,4
61,4,7624.998662,671.6222419,47718.10367,3729.19112,11793.84656,1182.508387,5.248524757,0.226276296,30257,7245.02,4
62,0,35204.972,654.6628532,60017.29026,2065.524857,16712.54778,623.4348139,4.422526123,0.078478233,27674,7925.5,3
62,1,7089.999096,307.7950762,65410.16547,4959.421465,17406.09846,1310.651572,4.72637467,0.245811263,28759,8411.634,3
62,2,7394.995128,288.1365485,55696.55571,5087.074697,17669.98043,1472.059948,4.302907841,0.162583958,23700,7776.06,3
62,3,13629.98758,412.4224364,54583.49909,2882.377357,14864.32,905.3520936,4.583273736,0.115161323,25993,7344.298,3
62,4,7089.990198,284.131494,70210.87212,4587.289549,18744.7017,1583.339036,3.934415817,0.119804866,34774,9025.189,3
63,0,62994.9174,2002.406248,41372.69311,1030.216453,12329.83255,401.0289359,5.268535411,0.05944229,24673,7551.96,4
63,1,12455.00309,1001.28299,45015.31704,1931.595735,12933.67896,843.5699508,5.546366645,0.120909956,28209,8529.024,4
63,2,14504.9794,734.3116922,33838.35606,1275.661366,11372.21335,486.0766792,5.093102749,0.104696462,21142,7160.335,4
63,3,24354.94891,1425.889851,37510.48207,1383.343316,11186.14191,684.6577008,5.334018628,0.09596729,22981,6720.636,4
63,4,11679.986,659.3084462,55932.18485,4057.782003,15499.49517,1266.696519,5.053512951,0.163293786,30731,8904.424,4
