ProviderId,Latitude,Longitude
'035100',34.454679,-114.264775
'035101',33.297195,-111.87791
'035103',33.408373,-111.720653
'035105',33.586583,-111.882762
'035106',33.366873,-111.92861
'035107',33.49708,-112.102152
'035110',33.658886,-112.363097
'035111',33.671186,-112.279876
'035114',34.602666,-112.459036
'035116',33.529208,-112.099659
'035117',34.231134,-111.321693
'035118',34.554844,-111.856007
'035120',33.410631,-111.696255
'035121',33.602538,-112.287357
'035126',33.60788,-112.177174
'035127',34.555044,-112.488539
'035128',33.609819,-112.298273
'035129',33.41159,-111.684535
'035130',33.291464,-111.873658
'035131',34.561022,-112.474585
'035132',33.589834,-112.099674
'035133',32.679916,-114.643358
'035134',34.239247,-111.334431
'035135',33.413935,-111.727745
'035136',31.552077,-110.275027
'035137',33.580016,-112.304715
'035139',34.203713,-110.014734
'035140',32.319834,-111.012261
'035141',33.394017,-110.771472
'035143',33.58411,-111.875962
