RegionType,RegionID,CatID,CatVal,Year,Population
2,1051,4,6,2012,9005
2,1053,0,0,2012,33389
2,1053,1,1,2012,7733
2,1053,1,2,2012,12747
2,1053,1,3,2012,8302
2,1053,1,4,2012,4607
2,1053,2,1,2012,15982
2,1053,2,2,2012,17407
2,1053,4,1,2012,28468
2,1053,4,2,2012,3689
2,1053,4,3,2012,561
2,1053,4,4,2012,317
2,1053,4,5,2012,75
2,1053,4,6,2012,279
2,1054,0,0,2012,63247
2,1054,1,1,2012,13978
2,1054,1,2,2012,20237
2,1054,1,3,2012,18440
2,1054,1,4,2012,10592
2,1054,2,1,2012,30716
2,1054,2,2,2012,32531
2,1054,4,1,2012,57193
2,1054,4,2,2012,3262
2,1054,4,3,2012,1381
2,1054,4,4,2012,151
2,1054,4,5,2012,84
2,1054,4,6,2012,1176
2,1056,0,0,2012,10285
2,1056,1,1,2012,2289
2,1056,1,2,2012,3447
2,1056,1,3,2012,2778
2,1056,1,4,2012,1771
2,1056,2,1,2012,5025
2,1056,2,2,2012,5260
2,1056,4,1,2012,7226
2,1056,4,2,2012,2220
2,1056,4,3,2012,212
2,1056,4,4,2012,213
2,1056,4,5,2012,61
2,1056,4,6,2012,353
2,1057,0,0,2012,527621
2,1057,1,1,2012,130752
2,1057,1,2,2012,185747
2,1057,1,3,2012,141562
2,1057,1,4,2012,69560
2,1057,2,1,2012,255425
2,1057,2,2,2012,272196
2,1057,4,1,2012,331577
2,1057,4,2,2012,163530
2,1057,4,3,2012,12615
2,1057,4,4,2012,8448
2,1057,4,5,2012,5451
2,1057,4,6,2012,6000
2,1058,0,0,2012,24265
2,1058,1,1,2012,5788
2,1058,1,2,2012,7818
2,1058,1,3,2012,6731
2,1058,1,4,2012,3928
2,1058,2,1,2012,11594
2,1058,2,2,2012,12671
2,1058,4,1,2012,13448
2,1058,4,2,2012,9894
2,1058,4,3,2012,224
2,1058,4,4,2012,92
2,1058,4,5,2012,360
2,1058,4,6,2012,247
2,1059,0,0,2012,326532
2,1059,1,1,2012,79815
2,1059,1,2,2012,122881
2,1059,1,3,2012,84332
2,1059,1,4,2012,39504
2,1059,2,1,2012,157091
2,1059,2,2,2012,169441
2,1059,4,1,2012,155622
2,1059,4,2,2012,150213
2,1059,4,3,2012,10016
2,1059,4,4,2012,5180
2,1059,4,5,2012,1014
2,1059,4,6,2012,4487
2,1060,0,0,2012,27042
2,1060,1,1,2012,6195
2,1060,1,2,2012,9010
2,1060,1,3,2012,7715
2,1060,1,4,2012,4122
2,1060,2,1,2012,13419
2,1060,2,2,2012,13623
2,1060,4,1,2012,21973
2,1060,4,2,2012,1892
2,1060,4,3,2012,427
2,1060,4,4,2012,60
2,1060,4,5,2012,1358
2,1060,4,6,2012,1332
2,1061,0,0,2012,52752
2,1061,1,1,2012,11623
2,1061,1,2,2012,16848
2,1061,1,3,2012,14936
2,1061,1,4,2012,9345
2,1061,2,1,2012,25257
2,1061,2,2,2012,27495
2,1061,4,1,2012,41742
2,1061,4,2,2012,8677
2,1061,4,3,2012,1132
2,1061,4,4,2012,241
2,1061,4,5,2012,234
2,1061,4,6,2012,726
2,1063,0,0,2012,22977
2,1063,1,1,2012,5675
2,1063,1,2,2012,8138
2,1063,1,3,2012,5555
2,1063,1,4,2012,3609
2,1063,2,1,2012,11331
2,1063,2,2,2012,11646
2,1063,4,1,2012,19255
2,1063,4,2,2012,545
2,1063,4,3,2012,2854
2,1063,4,4,2012,18
2,1063,4,5,2012,58
2,1063,4,6,2012,247
2,1064,0,0,2012,142917
2,1064,1,1,2012,32425
2,1064,1,2,2012,62621
2,1064,1,3,2012,32371
2,1064,1,4,2012,15500
2,1064,2,1,2012,69252
2,1064,2,2,2012,73665
2,1064,4,1,2012,85205
2,1064,4,2,2012,48255
2,1064,4,3,2012,4088
2,1064,4,4,2012,3574
2,1064,4,5,2012,230
2,1064,4,6,2012,1565
2,1065,0,0,2012,12638
