PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
213 ,4,14005.00712,2357.507095,62252.15844,5563.085929,16677.52674,1950.291222,10.51197861,0.89175422,45183,12287.022,8
214 ,0,33900.01779,1032.879139,33098.08152,1183.295082,9358.147889,337.5422314,4.45589803,0.086205176,20020,6108.612,3
214 ,1,7924.982984,579.8697155,28187.21624,1405.02383,8291.697932,433.2823419,4.67950238,0.194367433,17788,5784.251,3
214 ,2,6360.005684,315.1376319,22216.31966,1021.004959,7557.32779,308.1608522,4.025942741,0.141291462,16035,5678.952,3
214 ,3,10200.00706,467.5396807,23543.29472,778.3128392,6869.41232,231.4550073,4.372549237,0.124970676,16549,5174.914,3
214 ,4,9415.02206,642.4059061,55839.841,3454.624515,14382.23427,1013.442398,4.648421816,0.203036778,34820,9054.255,3
215 ,0,52675.03424,5287.016744,54078.6763,3364.508993,14343.70141,816.8827198,12.38404289,0.478405456,37538,10605.456,10
215 ,1,6959.996826,1429.859338,44008.05235,5422.356544,12885.32864,1554.165842,11.45755246,0.780618011,31011,9558.89,9
215 ,2,8225.026276,2198.46716,30387.52273,3030.815959,10515.66425,1034.508065,11.26261894,1.123091583,23288,8188.368,9
215 ,3,9974.996425,2151.549361,32637.83498,2878.547666,9396.294096,568.0461137,10.03709439,0.605456102,25262,7641.088,8
215 ,4,27515.01471,4055.32068,71940.91858,5008.728844,17744.52128,1262.347955,13.80826847,0.773884833,53233,13329.576,11
216 ,0,943680.309,12334.99555,87653.18981,1382.998755,24212.64343,322.1528419,9.375213664,0.074048545,48950,14412.21,6
216 ,1,188589.7749,5191.937575,87671.11929,3175.10033,23976.59066,703.9522691,9.770087366,0.167320472,47878,14311.512,6
216 ,2,195029.9935,5673.956401,70662.79671,1760.971459,22952.04632,591.7506897,8.913499565,0.166312184,43077,14219.751,6
216 ,3,377725.2222,8627.398954,75184.04971,1702.857549,20887.90908,443.4452762,9.277926954,0.111713469,45323,13148.76,6
216 ,4,182335.3184,4309.304511,134720.8166,4944.707391,33360.01866,1019.618664,9.662311384,0.179378928,71200,18478.125,5
217 ,0,73820.04417,6114.022672,23554.6064,1077.743825,7042.203331,271.527823,4.105736765,0.140953878,15170,4909.24,3
217 ,1,34284.91689,4820.830705,22713.11124,1819.980374,6351.960781,445.5702224,3.748288461,0.247601062,14312,4289.208,3
