PRCCSID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
114,0,54695,2.0,1.0,47253,40601,12910,11701,2298,0.038,977,183
114,1,11420,2.0,1.0,46213,37559,12361,10947,951,0.081,2142,443
114,2,14830,2.0,1.0,44374,39179,13720,12791,1069,0.078,1322,301
114,3,21535,2.0,1.0,48562,42700,12187,10941,1671,0.060,1865,276
114,4,6910,2.1,1.0,51022,44016,14389,13075,663,0.090,2458,462
115,0,887645,2.7,2.0,7282,3766,2049,1157,19238,0.021,163,38
115,1,160290,2.9,2.0,10598,5595,2728,1591,7766,0.035,516,92
115,2,282410,2.7,2.0,6887,3861,2200,1283,9454,0.044,236,67
115,3,363390,2.7,2.0,5944,3214,1614,887,13739,0.032,218,55
115,4,81555,2.4,2.0,8074,4203,2120,1187,5625,0.045,558,117
116,0,1435,7.3,6.0,57766,42563,14606,11435,89,0.351,3668,718
116,1,370,6.6,6.0,51395,44598,13811,11435,43,0.506,4946,1148
116,2,335,7.4,6.0,49645,41118,14836,11695,42,0.574,4323,1169
116,3,550,7.5,6.0,58934,38947,14333,10859,57,0.709,5996,1353
116,4,180,7.7,6.0,82901,49984,16793,13889,32,0.915,17389,2100
117,0,9655,6.1,4.0,52706,30188,13136,8088,242,0.197,2654,520
117,1,1495,6.0,4.0,49391,27229,12665,8175,90,0.495,5478,960
117,2,2190,5.8,4.0,42876,26499,12790,8060,110,0.311,2970,826
117,3,4290,6.4,4.0,53955,31403,12706,7607,169,0.345,4567,909
117,4,1680,5.6,4.0,65930,37538,15230,9194,100,0.380,7611,1269
118,0,12535,4.4,3.0,50566,34670,12731,8918,325,0.137,1442,322
118,1,2575,4.5,2.0,49721,32411,13075,8322,149,0.435,3446,943
118,2,2250,4.3,3.0,39523,28616,12149,9008,115,0.287,1977,604
118,3,5095,4.7,3.0,50695,35478,12087,8557,218,0.187,2282,438
118,4,2615,3.8,2.0,61091,41806,14244,10469,151,0.228,3622,728
119,0,51380,3.6,3.0,52257,39998,12969,10218,1387,0.051,1046,214
119,1,6540,4.0,3.0,50969,37604,13405,10137,414,0.128,2111,680
119,2,9470,3.8,3.0,44055,34829,13040,10345,488,0.107,1737,474
119,3,16170,3.9,3.0,45297,34840,11508,8886,807,0.095,1273,268
119,4,19200,3.0,2.0,63195,51230,14089,11498,930,0.069,2228,409
120,0,12455,2.8,2.0,39692,31987,9893,8392,330,0.059,815,165
120,1,2445,2.5,2.0,34030,27295,8900,7574,138,0.131,1444,316
120,2,1850,2.9,2.0,33097,26760,10148,8879,110,0.170,1454,352
120,3,3680,2.9,2.0,39377,31402,9320,8028,175,0.108,1420,255
120,4,4480,2.8,2.0,46119,37939,10875,9024,217,0.091,1684,350
121,0,31220,2.9,3.0,31667,27508,7511,6376,1903,0.052,1116,266
121,1,0,3.2,3.0,23159,19919,7976,7480,0,0.391,1227,1089
121,2,1440,2.2,2.0,17534,16211,7001,5704,154,0.055,682,341
121,3,2510,2.5,2.0,19509,16863,5425,4971,302,0.102,938,226
121,4,25820,3.0,3.0,34411,30016,7742,6547,1776,0.054,1318,314
122,0,8090,1.7,1.0,31760,27299,7912,7048,236,0.047,634,122
122,1,1860,1.5,1.0,29360,24051,7431,6252,127,0.081,1750,352
122,2,1330,2.0,2.0,27544,25426,8271,7598,90,0.204,860,239
122,3,3730,1.8,2.0,33095,28903,7670,6923,159,0.051,863,144
122,4,1170,1.4,1.0,36078,32036,9093,7849,81,0.079,1485,307
123,0,10050,2.3,2.0,46982,39296,10954,9444,522,0.054,1596,293
123,1,840,2.2,2.0,30439,26229,9305,8014,161,0.170,1645,941
123,2,700,2.9,2.0,32170,27788,9959,8392,66,0.325,1694,580
123,3,1345,2.8,2.0,38788,30725,9611,7721,88,0.204,2662,609
123,4,7165,2.1,2.0,52512,45364,11567,10135,484,0.050,2224,396
124,0,184950,2.6,2.0,38618,30459,10394,8545,3496,0.028,550,108
124,1,38550,2.6,2.0,38896,28833,10159,8281,1626,0.054,1625,256
124,2,43080,2.6,2.0,35096,29237,11042,9329,1456,0.070,771,228
124,3,78980,2.7,2.0,37909,30438,9600,7921,2434,0.040,790,155
124,4,24340,2.7,2.0,46706,36268,12261,9775,1239,0.063,1462,275
125,0,21555,2.6,2.0,35915,29993,9077,7801,768,0.039,756,130
125,1,5445,2.4,2.0,34422,29455,8712,7421,410,0.057,1417,270
125,2,3145,3.0,2.0,33637,28665,9782,8498,203,0.166,1098,270
125,3,8745,2.5,2.0,34793,29303,8534,7384,553,0.049,1239,177
125,4,4220,2.7,2.0,42405,34020,10279,8800,273,0.080,1984,350
126,0,700,4.2,2.0,47359,25350,12638,6635,75,0.609,6504,1666
126,1,135,3.1,2.0,40167,32943,8757,7580,31,0.547,7647,1250
126,2,150,0,0,43768,21327,13850,7989,42,0,12465,3754
126,3,215,4.5,2.0,40282,22463,11423,5859,40,1.161,10457,3088
126,4,200,3.9,2.0,64576,29889,16122,7156,36,1.061,17443,3603
127,0,17240,2.3,2.0,26825,19723,6742,5230,417,0.057,630,144
127,1,2395,2.5,2.0,30143,22326,7509,5716,145,0.166,1734,393
127,2,3505,2.2,2.0,22084,17415,6779,5366,185,0.110,828,235
127,3,6725,2.3,2.0,25284,19200,5815,4767,271,0.096,897,159
127,4,4615,2.3,2.0,31273,22508,7761,5692,214,0.108,1643,415
128,0,5885,3.6,2.0,40523,29164,9905,7414,193,0.145,1625,335
128,1,1145,4.2,2.0,44309,28967,10333,7745,90,0.359,3143,606
128,2,1235,3.8,3.0,32116,25285,9699,7437,88,0.328,1801,583
128,3,2200,3.4,2.0,36389,29141,8701,6941,115,0.215,1452,330
128,4,1305,3.1,2.0,52407,34182,11851,8260,91,0.319,6248,1215
129,0,9165,1.6,1.0,33339,27722,8272,7364,320,0.036,801,149
129,1,1615,1.4,1.0,27814,20639,7383,6651,136,0.127,2179,441
129,2,1635,1.7,1.0,26954,22805,8504,7787,131,0.082,1147,295
129,3,2760,1.7,1.0,32213,26328,7586,6672,162,0.068,1301,229
129,4,3155,1.6,1.0,40671,36720,9248,8366,202,0.037,1458,263
