PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MedianCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MeanCost,MedianLOS
229,2,1935.001543,128.2329734,27192,2086.409714,5907,2086.409714,3.775198166,0.247450202,18864,8861,2
229,3,3314.997457,187.0086109,33128,1877.233497,5320,1877.233497,3.683257023,0.226641638,21757,8318,2
229,4,2489.999781,170.1994802,48031,4124.250793,7044,4124.250793,3.524092354,0.282092569,26677,11709,2
230,0,0,0,36786,7398.401794,8384,7398.401794,0,0,28915,11644,0
230,1,0,0,0,0,0,0,0,0,0,0,0
230,2,0,0,0,0,0,0,0,0,0,0,0
230,3,0,0,0,0,0,0,0,0,0,0,0
230,4,0,0,0,0,0,0,0,0,0,0,0
231,0,620004.7402,25792.18033,42857,1340.41672,6387,1340.41672,5.385324589,0.071837746,20758,11856,3
231,1,215855.137,20802.19027,35133,1761.108147,6371,1761.108147,5.085750013,0.119076966,19410,10273,3
231,2,85759.88252,10079.89071,40183,1818.456823,7168,1818.456823,5.965483811,0.248581698,21317,12608,3
231,3,150284.8295,8782.091072,40925,1722.08567,5983,1722.08567,6.597583471,0.185200119,18452,11399,4
231,4,168104.8911,7333.220722,56402,3622.399008,6484,3622.399008,4.390321815,0.099395601,25726,14076,3
0,0,22504524.82,617435.4024,63300,2643.990211,11769,2643.990211,6,0.18939364,33286,13593,3
0,1,4563520.005,303600.7617,63125,4843.016679,11752,4843.016679,5.836243613,0.340782913,31965,13063,3
0,2,4820393.933,237727.3051,50123,3118.046331,11457,3118.046331,5.321205673,0.297729409,27571,12241,3
0,3,8415556.384,349077.6574,56921,3119.233533,10887,3119.233533,5.758371541,0.288042838,32050,11717,3.5
0,4,4339959.777,243496.491,80031,6108.374051,13834,6108.374051,5.405404086,0.364868408,43270,15689,3
